Sample,Sample_full,Sample_AC,,MiSeqID,Replicate,Location1,Location,Year,Whole_or_dissected,Subject,Type,Stock_Conc
A1_a,15_w_a,15_w,,A1,a,LP_w,Lemoine_Pt,2017,w,15,w,66.67
A1_b,15_w_b,15_w,,A1,b,LP_w,Lemoine_Pt,2017,w,15,w,23.52
A1_c,15_w_c,15_w,,A1,c,LP_w,Lemoine_Pt,2017,w,15,w,60.76
B1_a,31_w_a,31_w,,B1,a,LP_w,Lemoine_Pt,2017,w,31,w,13
B1_b,31_w_b,31_w,,B1,b,LP_w,Lemoine_Pt,2017,w,31,w,11.52
B1_c,31_w_c,31_w,,B1,c,LP_w,Lemoine_Pt,2017,w,31,w,12.89
C1_a,35_w_a,35_w,,C1,a,LP_w,Lemoine_Pt,2017,w,35,w,36.36
C1_b,35_w_b,35_w,,C1,b,LP_w,Lemoine_Pt,2017,w,35,w,59.39
C1_c,35_w_c,35_w,,C1,c,LP_w,Lemoine_Pt,2017,w,35,w,26.21
D1_a,42_w_a,42_w,,D1,a,LP_w,Lemoine_Pt,2017,w,42,w,64.55
D1_b,42_w_b,42_w,,D1,b,LP_w,Lemoine_Pt,2017,w,42,w,147.27
D1_c,42_w_c,42_w,,D1,c,LP_w,Lemoine_Pt,2017,w,42,w,84.7
E1_a,18_g_a,18_g,,E1,a,LP_d,Lemoine_Pt,2017,d,18,g,34.24
E1_b,18_g_b,18_g,,E1,b,LP_d,Lemoine_Pt,2017,d,18,g,283.94
E1_c,18_g_c,18_g,,E1,c,LP_d,Lemoine_Pt,2017,d,18,g,222.73
G1_a,33_g_a,33_g,,G1,a,LP_d,Lemoine_Pt,2017,d,33,g,88.48
G1_b,33_g_b,33_g,,G1,b,LP_d,Lemoine_Pt,2017,d,33,g,136.36
G1_c,33_g_c,33_g,,G1,c,LP_d,Lemoine_Pt,2017,d,33,g,91.06
H1_a,33_sg_a,33_sg,,H1,a,LP_d,Lemoine_Pt,2017,d,33,sg,56.36
H1_b,33_sg_b,33_sg,,H1,b,LP_d,Lemoine_Pt,2017,d,33,sg,158.79
H1_c,33_sg_c,33_sg,,H1,c,LP_d,Lemoine_Pt,2017,d,33,sg,99.09
A2_a,38_w_a,38_w,,A2,a,MP_w,Murphy's_Pt,2017,w,38,w,6.73
A2_b,38_w_b,38_w,,A2,b,MP_w,Murphy's_Pt,2017,w,38,w,29.7
A2_c,38_w_c,38_w,,A2,c,MP_w,Murphy's_Pt,2017,w,38,w,7.76
B2_a,47_w_a,47_w,,B2,a,MP_w,Murphy's_Pt,2017,w,47,w,59.09
B2_b,47_w_b,47_w,,B2,b,MP_w,Murphy's_Pt,2017,w,47,w,85.76
B2_c,47_w_c,47_w,,B2,c,MP_w,Murphy's_Pt,2017,w,47,w,70.76
C2_a,11_w_a,11_w,,C2,a,MP_w,Murphy's_Pt,2017,w,11,w,93.33
C2_b,11_w_b,11_w,,C2,b,MP_w,Murphy's_Pt,2017,w,11,w,15.64
C2_c,11_w_c,11_w,,C2,c,MP_w,Murphy's_Pt,2017,w,11,w,90.15
D2_a,84_rem_a,84_rem,,D2,a,MP_d,Murphy's_Pt,2017,d,84,rem,50.61
D2_b,84_rem_b,84_rem,,D2,b,MP_d,Murphy's_Pt,2017,d,84,rem,84.85
D2_c,84_rem_c,84_rem,,D2,c,MP_d,Murphy's_Pt,2017,d,84,rem,55.76
E2_a,24_g_a,24_g,,E2,a,MP_d,Murphy's_Pt,2017,d,24,g,6.58
F2_a,24_sg_a,24_sg,,F2,a,MP_d,Murphy's_Pt,2017,d,24,sg,4.15
G2_a,24_rem_a,24_rem,,G2,a,MP_d,Murphy's_Pt,2017,d,24,rem,101.52
G2_b,24_rem_b,24_rem,,G2,b,MP_d,Murphy's_Pt,2017,d,24,rem,159.09
G2_c,24_rem_c,24_rem,,G2,c,MP_d,Murphy's_Pt,2017,d,24,rem,141.52
H2_a,44_g_a,44_g,,H2,a,MP_d,Murphy's_Pt,2017,d,44,g,21.36
H2_b,44_g_b,44_g,,H2,b,MP_d,Murphy's_Pt,2017,d,44,g,43.94
H2_c,44_g_c,44_g,,H2,d,MP_d,Murphy's_Pt,2017,d,44,g,24.55
B3_a,44_rem_a,44_rem,,B3,a,MP_d,Murphy's_Pt,2017,d,44,rem,98.79
B3_b,44_rem_b,44_rem,,B3,b,MP_d,Murphy's_Pt,2017,d,44,rem,121.21
B3_c,44_rem_c,44_rem,,B3,c,MP_d,Murphy's_Pt,2017,d,44,rem,85.3
C3_a,42_g_a,42_g,,C3,a,MP_d,Murphy's_Pt,2017,d,42,g,92.73
C3_b,42_g_b,42_g,,C3,b,MP_d,Murphy's_Pt,2017,d,42,g,94.24
C3_c,42_g_c,42_g,,C3,c,MP_d,Murphy's_Pt,2017,d,42,g,65.45
D3_a,42_sg_a,42_sg,,D3,a,MP_d,Murphy's_Pt,2017,d,42,sg,1
E3_a,71_g_a,71_g,,E3,a,MP_d,Murphy's_Pt,2017,d,71,g,15.18
E3_b,71_g_b,71_g,,E3,b,MP_d,Murphy's_Pt,2017,d,71,g,34.24
E3_c,71_g_c,71_g,,E3,c,MP_d,Murphy's_Pt,2017,d,71,g,9.65
F3_a,71_sg_a,71_sg,,F3,a,MP_d,Murphy's_Pt,2017,d,71,sg,78.18
F3_b,71_sg_b,71_sg,,F3,b,MP_d,Murphy's_Pt,2017,d,71,sg,69.09
F3_c,71_sg_c,71_sg,,F3,c,MP_d,Murphy's_Pt,2017,d,71,sg,41.82
G3_a,44.1_w_a,44.1_w,,G3,a,MP_w,Murphy's_Pt,2017,w,44.1,w,19.55
G3_b,44.1_w_b,44.1_w,,G3,b,MP_w,Murphy's_Pt,2017,w,44.1,w,20.73
G3_c,44.1_w_c,44.1_w,,G3,c,MP_w,Murphy's_Pt,2017,w,44.1,w,9.94
H3_a,74_w_a,74_w,,H3,a,MP_w,Murphy's_Pt,2017,w,74,w,9.27
H3_b,74_w_b,74_w,,H3,b,MP_w,Murphy's_Pt,2017,w,74,w,23.73
H3_c,74_w_c,74_w,,H3,c,MP_w,Murphy's_Pt,2017,w,74,w,8.77
A4_a,88_w_a,88_w,,A4,a,MP_w,Murphy's_Pt,2017,w,88,w,34.85
A4_b,88_w_b,88_w,,A4,b,MP_w,Murphy's_Pt,2017,w,88,w,23.7
A4_c,88_w_c,88_w,,A4,c,MP_w,Murphy's_Pt,2017,w,88,w,26.45
B4_a,91_w_a,91_w,,B4,a,MP_w,Murphy's_Pt,2017,w,91,w,36.06
B4_b,91_w_b,91_w,,B4,b,MP_w,Murphy's_Pt,2017,w,91,w,43.64
B4_c,91_w_c,91_w,,B4,c,MP_w,Murphy's_Pt,2017,w,91,w,16.7
C4_a,105_w_a,105_w,,C4,a,MP_w,Murphy's_Pt,2017,w,105,w,9.91
C4_b,105_w_b,105_w,,C4,b,MP_w,Murphy's_Pt,2017,w,105,w,33.94
C4_c,105_w_c,105_w,,C4,c,MP_w,Murphy's_Pt,2017,w,105,w,9.76
D4_a,114_w_a,114_w,,D4,a,MP_w,Murphy's_Pt,2017,w,114,w,62.12
D4_b,114_w_b,114_w,,D4,b,MP_w,Murphy's_Pt,2017,w,114,w,82.12
D4_c,114_w_c,114_w,,D4,c,MP_w,Murphy's_Pt,2017,w,114,w,45.45
E4_a,Q5_w_a,Q5_w,,E4,a,QB_w,QUBS_Site5,2017,w,Q5,w,56.97
E4_b,Q5_w_b,Q5_w,,E4,b,QB_w,QUBS_Site5,2017,w,Q5,w,77.58
E4_c,Q5_w_c,Q5_w,,E4,c,QB_w,QUBS_Site5,2017,w,Q5,w,72.12
F4_a,Q7_w_a,Q7_w,,F4,a,QB_w,QUBS_Site7,2017,w,Q7,w,48.18
F4_b,Q7_w_b,Q7_w,,F4,b,QB_w,QUBS_Site7,2017,w,Q7,w,39.09
F4_c,Q7_w_c,Q7_w,,F4,c,QB_w,QUBS_Site7,2017,w,Q7,w,67.27
G4_a,Q8_w_a,Q8_w,,G4,a,QB_w,QUBS_Site8,2017,w,Q8,w,76.97
G4_b,Q8_w_b,Q8_w,,G4,b,QB_w,QUBS_Site8,2017,w,Q8,w,64.24
G4_c,Q8_w_c,Q8_w,,G4,c,QB_w,QUBS_Site8,2017,w,Q8,w,100.3
H4_a,Q13_w_a,Q13_w,,H4,a,QB_w,QUBS_Site13,2017,w,Q13,w,56.97
H4_b,Q13_w_b,Q13_w,,H4,b,QB_w,QUBS_Site13,2017,w,Q13,w,64.85
H4_c,Q13_w_c,Q13_w,,H4,c,QB_w,QUBS_Site13,2017,w,Q13,w,83.33
A5_a,232_g_a,232_g,,A5,a,QB_d,QUBS,2016,d,232,g,7.76
A5_b,232_g_b,232_g,,A5,b,QB_d,QUBS,2016,d,232,g,37.88
A5_c,232_g_c,232_g,,A5,c,QB_d,QUBS,2016,d,232,g,12.24
B5_a,232_sg_a,232_sg,,B5,a,QB_d,QUBS,2016,d,232,sg,3.01
C5_a,273_g_a,273_g,,C5,a,QB_d,QUBS,2016,d,273,g,65.45
C5_b,273_g_b,273_g,,C5,b,QB_d,QUBS,2016,d,273,g,167.88
C5_c,273_g_c,273_g,,C5,c,QB_d,QUBS,2016,d,273,g,156.06
E5_a,260_g_a,260_g,,E5,a,QB_d,QUBS,2016,d,260,g,51.21
E5_b,260_g_b,260_g,,E5,b,QB_d,QUBS,2016,d,260,g,254.55
E5_c,260_g_c,260_g,,E5,c,QB_d,QUBS,2016,d,260,g,240.91
F5_a,260_sg_a,260_sg,,F5,a,QB_d,QUBS,2016,d,260,sg,6.09
G5_a,72_g_a,72_g,,G5,a,QB_d,QUBS,2016,d,72,g,58.79
G5_b,72_g_b,72_g,,G5,b,QB_d,QUBS,2016,d,72,g,145.76
G5_c,72_g_c,72_g,,G5,c,QB_d,QUBS,2016,d,72,g,192.42
H5_a,72_sg_a,72_sg,,H5,a,QB_d,QUBS,2016,d,72,sg,4.67
neg_beads_a,NB_a,NB,,neg_beads,a,NC,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,0.72
neg_beads_b,NB_b,NB,,neg_beads,b,NC,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,5.21
neg_beads_c,NB_c,NB,,neg_beads,c,NC,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,2.7
neg_PCR_a,NP_a,NP,,neg_PCR,a,NC,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,2.03
neg_PCR_b,NP_b,NP,,neg_PCR,b,NC,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,5.3
neg_PCR_c,NP_c,NP,,neg_PCR,c,NC,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,2.05
pos_ctrl_a,PC_a,PC,,pos_ctrl,a,Not_applicable_Not_applicable,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,0.00001
pos_ctrl_b,PC_b,PC,,pos_ctrl,b,Not_applicable_Not_applicable,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,0.00001
pos_ctrl_c,PC_c,PC,,pos_ctrl,c,Not_applicable_Not_applicable,Not_applicable,2018,Not_applicable,Not_applicable,Not_applicable,0.00001